# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2011-09-25T01:19:48.173 -0.0607244 -0.0915506 1 -0.00111100 1.38881
OMEGA.2011-09-25T01:21:22.374 -0.0791288 -0.100978 1 0.00111100 1.35460
OMEGA.2011-12-04T02:08:44.231 0.00711336 0.0254643 1 -0.00150500 0.602130
OMEGA.2011-12-04T02:10:13.321 0.00257535 -0.0106780 1 -0.00166400 0.637117
OMEGA.2011-12-05T02:06:15.702 0.0218684 -0.00493129 1 0.00107400 0.760744
OMEGA.2011-12-05T02:07:40.564 -0.0256840 -0.0108272 1 0.00209400 0.905481
OMEGA.2011-08-22T03:42:27.032 0.0188877 0.00842378 0 0.0104050 1.80130
OMEGA.2011-08-22T03:43:51.873 0.0167223 0.00394681 0 0.0144980 1.94967
OMEGA.2011-09-25T05:59:53.627 -0.0128764 0.00205813 1 -0.0128630 0.612330
OMEGA.2011-09-25T06:01:18.898 -0.0168334 0.0185066 1 -0.0120400 0.646063
OMEGA.2011-08-20T03:38:15.048 0.0363790 -0.00295192 1 -0.0374460 0.859174
OMEGA.2011-08-20T03:39:58.699 0.0300496 0.0172354 0 -0.252370 1.02373
OMEGA.2012-09-13T03:28:23.004 0.00303055 -0.0186792 1 0.142193 0.902697
OMEGA.2012-09-13T03:30:03.343 0.0412338 -0.0795029 1 0.147623 0.975709
OMEGA.2011-11-25T02:45:40.222 0.0131660 0.00493223 1 0.000103000 0.790412
OMEGA.2011-11-25T02:47:05.122 -0.0108086 0.000309832 1 -0.000103000 0.756379
OMEGA.2012-10-17T01:43:31.415 0.000434820 0.0150337 1 0.00244800 0.783791
OMEGA.2012-10-17T01:45:05.666 0.0104316 0.00421685 1 -0.00244800 0.822835
OMEGA.2011-11-30T03:13:57.500 -0.0167451 -0.00901058 1 0.00161400 1.07746
OMEGA.2011-11-30T03:15:23.501 -0.00190711 -0.00612970 1 -0.00161400 1.05634
OMEGA.2011-10-31T00:22:18.571 0.0201842 -0.00223109 1 0.000125000 0.717369
OMEGA.2011-10-31T00:23:48.782 0.0129475 0.0129256 1 -0.000125000 0.799305
OMEGA.2012-07-22T06:55:12.825 0.0141753 -0.00125060 1 0.000390000 0.727791
OMEGA.2012-07-22T06:56:58.245 -0.00203057 -0.00918184 1 -0.000390000 0.902931
OMEGA.2011-11-04T00:44:12.342 0.00426764 0.0235693 1 -0.00135100 0.565581
OMEGA.2011-11-04T00:45:38.502 -0.0305507 -0.000777185 1 0.00135100 0.558194
OMEGA.2011-09-28T06:30:23.919 0.0370757 0.00824996 1 0.000366000 0.578978
OMEGA.2011-09-28T06:31:57.540 0.0273446 0.00944438 1 -0.000366000 0.625679
OMEGA.2011-09-19T06:45:23.179 -0.00524097 0.0215280 1 -5.90000e-05 0.674338
OMEGA.2011-09-19T06:46:50.819 -0.0129150 0.0370314 1 5.90000e-05 0.720723
OMEGA.2011-11-22T02:37:14.168 0.0190806 -0.0123204 0 -0.00183100 1.19809
OMEGA.2011-11-22T02:38:42.899 0.0111730 -0.0121830 1 0.00111400 0.941230
OMEGA.2011-11-24T03:10:01.774 0.0240548 -0.00242015 1 -0.000202000 0.879672
OMEGA.2011-11-24T03:11:29.345 0.0264191 0.00235583 1 0.000919000 0.931753
OMEGA.2011-08-29T07:15:47.470 0.0243577 0.0145853 1 0.0408420 1.29268
OMEGA.2011-08-29T07:17:32.461 0.00814988 0.0254131 1 0.0358820 1.19142
OMEGA.2012-08-20T05:52:48.787 0.0195441 0.0195448 1 -0.0385800 0.884139
OMEGA.2012-08-20T05:54:32.427 0.0201387 0.0244406 1 -0.0381440 0.947206
OMEGA.2011-08-17T08:04:08.259 0.0204216 0.0193078 1 -0.000722000 0.681340
OMEGA.2011-08-17T08:05:37.200 0.00429419 0.0132577 1 0.000722000 0.717725
OMEGA.2013-10-08T01:57:14.188 -0.00530357 0.00504346 1 -0.00100300 1.06811
OMEGA.2013-10-08T01:58:48.438 0.00573232 0.00248780 1 0.00100300 1.03562
OMEGA.2012-07-27T06:30:01.518 -0.00598902 0.0126398 1 -0.00152000 1.12552
OMEGA.2012-07-27T06:31:28.068 -0.00656169 -0.00222593 1 0.00152000 1.06585
OMEGA.2013-08-04T07:25:59.783 0.0236561 -0.00607181 1 -0.000683000 0.906462
OMEGA.2013-08-04T07:27:30.233 -0.0172065 0.00747835 1 0.000683000 0.905301
OMEGA.2012-07-27T09:12:15.159 -0.00147555 0.00288721 1 0.000846000 0.890524
OMEGA.2012-07-27T09:13:56.200 0.00345349 -1.97921e-05 1 -0.000846000 0.880491
OMEGA.2012-08-27T03:14:47.111 -0.0169324 -0.0266656 1 -0.000745000 1.36899
OMEGA.2012-08-27T03:16:14.051 -0.00602277 -0.0197977 1 0.000745000 1.36237
OMEGA.2011-11-17T03:33:30.586 0.0125052 -0.00112001 1 0.000777000 0.924682
OMEGA.2011-11-17T03:35:05.257 -0.00350093 0.00102586 1 -0.000777000 0.891116
OMEGA.2011-10-20T05:57:27.035 0.000100154 0.0283594 1 -0.00192700 1.06836
OMEGA.2011-10-20T05:58:53.086 -0.0199907 0.0254533 1 0.00192700 1.01948
OMEGA.2012-08-15T05:02:38.978 0.0237117 -0.00640591 1 -0.000790000 0.824971
OMEGA.2012-08-15T05:04:05.179 0.0243455 -0.00524856 1 0.000790000 0.796724
OMEGA.2011-10-20T00:57:31.476 0.0187515 -0.0168371 1 -1.00000e-05 0.999896
OMEGA.2011-10-20T00:59:12.778 0.0302504 -0.00732099 1 1.00000e-05 0.908840
OMEGA.2011-11-06T00:42:33.810 -0.00376277 -0.0251739 1 -0.00116900 0.826899
OMEGA.2011-11-06T00:44:02.771 0.00995683 -0.0189543 1 0.00116900 0.830499
OMEGA.2011-09-29T05:11:04.537 -0.00956816 0.00326039 1 -0.000385000 1.35456
OMEGA.2011-09-29T05:12:38.888 -0.000110348 -0.0112463 1 0.000385000 1.37581
OMEGA.2011-08-22T07:52:31.511 0.0162588 -0.00285953 1 0.000334000 0.947495
OMEGA.2011-08-22T07:53:57.792 0.00526213 0.00689201 1 -0.000334000 1.04408
OMEGA.2011-12-13T02:00:14.057 0.00706376 0.0220116 1 0.00165300 0.711185
OMEGA.2011-12-13T02:01:38.788 -0.00495565 0.00472207 1 -0.00165300 0.613998
OMEGA.2011-09-30T05:36:24.987 0.00300599 -0.00609024 1 0.0396700 0.749481
OMEGA.2011-09-30T05:38:09.208 0.00478062 -0.00546672 1 0.0383820 0.767918
OMEGA.2012-06-24T08:44:27.671 -0.00788081 -0.0172643 1 -0.0391730 0.715028
OMEGA.2012-06-24T08:46:08.062 -0.0108710 -0.0167055 1 -0.0388790 0.742218
OMEGA.2011-08-18T08:13:08.728 -0.0199224 0.0478204 1 0.000454000 0.886900
OMEGA.2011-08-18T08:14:37.029 -0.0398307 0.0396204 1 -0.000454000 0.848754
OMEGA.2011-09-30T06:35:14.142 0.0376728 0.0120070 1 0.00146300 0.653191
OMEGA.2011-09-30T06:36:48.353 0.0426438 0.00553587 1 -0.00146300 0.655670
OMEGA.2011-09-26T03:07:51.292 -0.0392502 0.0376300 1 0.000647000 1.12055
OMEGA.2011-09-26T03:09:16.843 -0.0282358 0.0268344 1 -0.000647000 1.22321
OMEGA.2011-11-18T03:25:56.456 0.0235977 0.00522085 1 -0.000652000 0.637739
OMEGA.2011-11-18T03:27:21.876 0.0325889 0.0188425 1 0.000652000 0.630255
