# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2011-08-26T09:13:02.736 0.161425 -0.00940638 0 0.0337540 1.34956
OMEGA.2011-08-26T09:14:36.538 0.158026 -0.00554198 0 0.0329430 1.41032
OMEGA.2011-08-26T09:16:06.718 0.151611 -0.00659242 1 0.0312040 1.33948
OMEGA.2011-08-26T09:17:36.629 0.167955 -0.00458370 0 0.0312080 1.43484
OMEGA.2011-08-26T09:19:07.290 0.169928 -0.00809727 1 0.0334030 1.38830
OMEGA.2013-03-12T02:51:55.064 0.158267 -0.292945 0 0.0251790 1.76292
OMEGA.2013-01-14T06:29:15.364 0.152725 0.0633666 1 -0.00162200 0.850497
OMEGA.2012-04-02T03:04:08.378 0.187457 0.0110676 1 0.000448000 0.757828
OMEGA.2011-08-26T09:28:16.186 0.154485 -0.00976120 0 0.0348790 1.46449
OMEGA.2011-08-26T09:31:20.728 0.151652 -0.0146681 0 0.0340800 1.38752
OMEGA.2011-08-26T09:32:54.498 0.151729 -0.0180209 0 0.0330420 1.47898
OMEGA.2013-02-21T05:27:52.352 0.193907 0.0331860 0 0.0280920 1.23661
OMEGA.2013-02-21T05:29:19.152 0.290765 0.0898738 0 0.0310730 1.59664
OMEGA.2013-02-21T05:31:05.313 0.241102 0.0588339 0 0.0257500 1.44517
OMEGA.2013-02-21T05:32:30.792 0.289979 0.0974854 0 0.0277200 1.68029
OMEGA.2013-03-21T03:19:49.102 0.178596 -0.0218952 1 -0.00422200 1.25121
OMEGA.2013-03-21T03:21:14.403 0.233966 0.0582434 0 -0.00604300 1.49711
OMEGA.2013-03-21T03:22:39.703 0.158361 0.0150121 0 0.00150700 1.26823
OMEGA.2013-03-21T03:25:33.254 0.209469 -0.0102107 1 -0.00201800 1.15666
OMEGA.2013-03-21T03:26:59.204 0.162635 -0.00459136 0 0.00168200 1.19475
OMEGA.2011-08-26T09:35:54.500 0.169526 -0.00521031 0 0.0342230 1.42283
OMEGA.2013-03-21T04:06:50.831 0.175711 0.0788282 1 -0.00588800 1.15736
OMEGA.2013-02-21T06:04:08.638 0.170442 0.0496566 1 0.0149400 1.12449
OMEGA.2013-02-21T06:05:38.099 0.194693 -0.0150015 1 0.0152390 1.20676
OMEGA.2013-02-21T06:07:19.930 0.172148 0.0201456 1 0.0138840 1.26411
OMEGA.2013-02-21T06:08:45.220 0.159355 -0.0268596 1 0.0141750 1.16140
OMEGA.2013-02-21T06:13:38.711 0.208463 0.0174828 1 0.0179860 1.34212
OMEGA.2013-02-21T06:15:04.621 0.191188 -0.0146620 1 0.0183530 1.23967
OMEGA.2013-02-21T06:16:47.611 0.169627 0.0211082 1 0.0206930 1.28007
OMEGA.2013-02-21T06:18:16.082 0.203612 0.0184039 1 0.0256010 1.42827
OMEGA.2013-02-21T06:19:57.782 0.171050 -0.0127147 1 0.0165620 1.26855
OMEGA.2013-02-21T06:21:23.362 0.190978 -0.0327646 1 0.0175070 1.22199
OMEGA.2013-02-21T06:23:06.382 0.232609 0.0327441 1 0.0192860 1.31740
OMEGA.2013-02-21T06:24:34.793 0.152448 -0.000631627 1 0.0195390 1.23364
OMEGA.2013-02-21T06:26:13.944 0.182619 -0.0371587 1 0.0180920 1.24882
OMEGA.2013-02-21T06:27:43.973 0.160149 -0.0336947 1 0.0172300 1.16830
OMEGA.2013-03-04T07:14:05.308 0.173516 -0.0369188 1 0.00280800 0.660253
OMEGA.2013-02-21T06:29:23.724 0.185030 -0.00262509 1 0.0169820 1.22535
OMEGA.2013-02-21T06:30:52.204 0.203352 -0.0204253 1 0.0173560 1.16608
OMEGA.2012-06-26T01:11:24.241 0.152303 0.0433352 1 -0.0189170 0.782274
OMEGA.2013-03-15T07:55:15.224 0.191154 -0.00999923 1 0.0536830 1.57998
OMEGA.2013-03-15T07:56:58.264 0.164253 -0.00760420 1 0.0528420 1.48800
OMEGA.2013-03-15T07:58:41.715 0.152707 -0.0163244 1 0.0542400 1.47274
OMEGA.2013-03-15T08:00:29.186 0.154244 -0.0141596 0 0.0595580 1.53936
OMEGA.2013-03-15T08:02:09.475 0.154519 -0.000724253 0 0.0554870 1.53535
OMEGA.2013-03-15T08:03:53.226 0.157089 -0.00638152 1 0.0497860 1.47490
OMEGA.2013-03-15T08:05:33.566 0.152296 -0.0112668 1 0.0559920 1.53267
OMEGA.2013-03-15T08:07:18.786 0.159010 0.00703632 1 0.0514280 1.45610
OMEGA.2013-03-15T08:09:02.177 0.155727 -0.00549601 1 0.0520780 1.50868
OMEGA.2013-03-15T08:12:25.687 0.154233 -0.0144211 1 0.0578000 1.55130
OMEGA.2012-09-25T04:40:09.491 0.152990 -0.00545507 1 -0.0107040 0.666613
OMEGA.2011-11-18T02:05:47.378 0.164062 0.0209728 1 0.00733200 1.07561
OMEGA.2011-12-04T01:39:00.643 0.166915 0.0126408 1 0.00863100 0.828174
OMEGA.2011-12-04T01:43:45.476 0.150457 0.0175342 1 0.00753900 0.935061
OMEGA.2011-12-04T01:45:39.197 0.160853 0.0366253 1 0.00325400 0.871667
