FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_0p5_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.90 0.01 4 0.00 0.01 0.02 -190.93 2110.92
ATLAS_0p5_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.85 0.10 1.41 0.01 2 0.00 0.10 0.04 -328.03 3477.32
ATLAS_0p5_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.68 0.01 2 0.00 0.09 0.18 -359.21 2372.40
ATLAS_0p5_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.01 0.01 2 0.00 0.07 0.10 -3470.72 19756.38
ATLAS_0p5_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.82 0.01 2 0.00 0.03 0.07 -368.39 2401.09
ATLAS_0p9_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 0.87 0.01 4 0.00 0.00 0.03 -92.67 1729.65
ATLAS_0p9_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.89 0.01 2 0.00 0.05 0.07 -397.77 1932.91
ATLAS_0p9_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.74 0.01 2 0.00 0.08 0.07 -352.75 2250.78
ATLAS_0p9_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.33 0.10 1.09 0.01 2 0.00 0.05 0.09 -290.18 2257.45
ATLAS_0p9_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.84 0.01 2 0.00 0.03 0.07 -292.49 2319.21
ATLAS_31p9_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 1.14 0.01 2 0.00 0.00 0.03 -96.49 1506.46
ATLAS_31p9_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.79 0.10 1.22 0.02 2 0.00 0.06 0.05 -290.04 2045.50
ATLAS_31p9_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.64 0.10 1.00 0.01 2 0.00 0.11 0.10 -358.79 2408.73
ATLAS_31p9_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 1.34 0.01 2 0.00 0.11 0.11 -318.52 3416.22
ATLAS_31p9_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.57 0.01 2 0.00 0.05 0.11 -362.55 2383.18
ATLAS_32p3_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.11 0.10 1.06 0.01 2 0.00 0.00 0.04 -53.68 1680.68
ATLAS_32p3_m30p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.73 0.01 2 0.00 0.04 0.06 -335.74 2111.79
ATLAS_32p3_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 2.12 0.46 2 0.00 0.07 0.09 -426.57 3008.09
ATLAS_32p3_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 0.95 0.01 2 0.00 0.05 0.14 -330.45 2356.87
ATLAS_32p3_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.06 0.10 0.95 0.01 4 0.00 0.02 0.05 -315.14 2446.39
ATLAS_32p7_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 0.93 0.03 4 0.00 0.00 0.02 -30.14 1739.35
ATLAS_32p7_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.47 0.02 2 0.00 0.05 0.06 -320.07 1958.69
ATLAS_32p7_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.73 0.01 2 0.00 0.06 0.10 -335.02 2295.97
