ATLAS_0.1_-37.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.3_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.4_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.5_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.8_-36.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.0_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.0_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.3_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.5_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.6_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.7_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.0_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.3_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.4_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.5_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.7_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.9_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.1_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.5_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.5_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.6_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.8_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.1_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.2_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.8_-15.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.8_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.2_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.4_-38.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_151.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_151.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_151.5_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_152.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_152.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_152.5_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_153.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_153.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_153.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_154.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_154.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_154.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_155.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_155.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_155.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_156.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_156.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_156.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_157.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_157.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_157.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_158.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_158.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_158.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
