ATLAS_0.0_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.3_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_0.8_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.0_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.3_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.3_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_10.7_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.0_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.4_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.4_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_11.7_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.1_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.4_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.5_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_12.8_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.2_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.5_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_13.9_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.2_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.6_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.6_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_14.9_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_150.5_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_151.5_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_151.5_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
